model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
text2cad,parametric,json,0055/00553999,True,0,3,0.0,0.375,,,,0.25,0.25,0.007676,0.23240000000000005,0.1355,0.4571,0.0573,0.5085,1.0,1.0,1.0,True,False,0.233425,1.0
text2cad,parametric,json,0068/00681400,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.00187,0.813,0.201,0.6122,0.0576,0.5224,1.0,1.0,1.0,True,False,0.39849999999999997,1.0
text2cad,parametric,json,0071/00714935,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.006449,0.35509999999999997,0.0,0.456,0.0407,0.5458,1.0,1.0,1.0,False,True,0.23539999999999997,1.0
text2cad,parametric,json,0022/00227442,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.000698,0.9302,0.1604,0.9227,0.054,0.7076,1.0,1.0,0.998726,True,False,0.46305,0.9995753333333334
text2cad,parametric,json,0039/00397627,True,1,1,0.25,0.125,,,,0.16666666666666666,0.16666666666666666,0.007687,0.23129999999999995,0.1618,0.3434,0.0392,0.3115,1.0,1.0,1.0,True,False,0.18594999999999998,1.0
text2cad,parametric,json,0026/00268024,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.024597,0.0,0.0149,0.1483,0.0536,0.249,1.0,1.0,1.0,True,False,0.079375,1.0
text2cad,parametric,json,0007/00073282,True,0,3,0.0,0.375,,,,0.25,0.25,0.01404,0.0,0.0,0.26,0.0189,0.6342,1.0,1.0,1.0,False,True,0.163275,1.0
text2cad,parametric,json,0036/00369868,True,0,3,0.0,0.375,,,,0.25,0.25,0.007721,0.2279,0.166,0.3856,0.0167,0.4277,1.0,1.0,0.984615,True,False,0.209575,0.9948716666666666
text2cad,parametric,json,0084/00844862,True,0,0,0.0,0.0,,,,0.0,0.0,0.005837,0.4163,0.0228,0.2571,0.0472,0.4405,1.0,1.0,1.0,True,False,0.2317,1.0
text2cad,parametric,json,0026/00268027,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.002572,0.7428,0.264,0.7177,0.5156,0.5824,1.0,1.0,1.0,True,False,0.5262,1.0
text2cad,parametric,json,0092/00925049,True,0,0,0.0,0.0,,,,0.0,0.0,0.000604,0.9396,0.2065,0.8784,0.1333,0.7428,1.0,1.0,1.0,True,False,0.5055499999999999,1.0
text2cad,parametric,json,0072/00725542,True,2,3,0.5,0.375,,,,0.4166666666666667,0.4166666666666667,0.004851,0.5148999999999999,0.0,0.3853,0.038,0.2633,1.0,1.0,1.0,False,True,0.20404999999999998,1.0
text2cad,parametric,json,0015/00150938,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.020024,0.0,0.0186,0.0763,0.0136,0.3803,1.0,1.0,1.0,True,False,0.10312500000000001,1.0
text2cad,parametric,json,0072/00726429,True,1,2,0.25,0.25,,,,0.25,0.25,0.003949,0.6051,0.4213,0.6143,0.108,0.5118,1.0,1.0,0.5,True,False,0.41155,0.8333333333333334
text2cad,parametric,json,0065/00657969,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.008056,0.1943999999999999,0.1852,0.5125,0.2302,0.3694,1.0,1.0,1.0,True,False,0.24479999999999996,1.0
text2cad,parametric,json,0031/00310774,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.003577,0.6423000000000001,0.1283,0.4782,0.0665,0.4264,1.0,1.0,0.985915,True,False,0.315875,0.995305
text2cad,parametric,json,0061/00618813,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.01304,0.0,0.0678,0.3337,0.0566,0.341,1.0,1.0,1.0,True,False,0.11635000000000001,1.0
text2cad,parametric,json,0030/00307386,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.008254,0.1746000000000001,0.0475,0.2251,0.0785,0.4309,1.0,1.0,1.0,True,False,0.182875,1.0
text2cad,parametric,json,0072/00724192,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.003265,0.6735,0.0,0.3585,0.0971,0.4397,1.0,1.0,1.0,False,True,0.302575,1.0
text2cad,parametric,json,0018/00189804,False,0,0,0.0,0.0,,,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0
text2cad,parametric,json,0080/00807326,True,3,1,0.75,0.125,,,,0.3333333333333333,0.3333333333333333,0.000832,0.9168000000000001,0.4818,0.8342,0.0926,0.5331,1.0,1.0,1.0,True,False,0.506075,1.0
text2cad,parametric,json,0078/00789364,True,1,2,0.25,0.25,,,,0.25,0.25,0.00654,0.3460000000000001,0.0,0.3635,0.0115,0.546,1.0,1.0,1.0,False,True,0.22587500000000002,1.0
text2cad,parametric,json,0002/00029952,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.000565,0.9435,0.4705,0.8809,0.4408,0.6423,1.0,1.0,1.0,True,False,0.624275,1.0
text2cad,parametric,json,0005/00051224,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.004309,0.5690999999999999,0.1954,0.3993,0.0563,0.2666,1.0,1.0,1.0,True,False,0.27185,1.0
text2cad,parametric,json,0087/00873073,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.005398,0.46020000000000005,0.0213,0.2128,0.0346,0.3029,1.0,1.0,1.0,True,False,0.20475000000000002,1.0
text2cad,parametric,json,0077/00779770,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.001196,0.8804,0.0165,0.7942,0.0399,0.6704,1.0,1.0,1.0,True,False,0.4018,1.0
text2cad,parametric,json,0077/00778195,True,0,0,0.0,0.0,,,,0.0,0.0,0.01198,0.0,0.0474,0.1113,0.0169,0.4079,1.0,1.0,1.0,True,False,0.11804999999999999,1.0
